job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,hiring_urgency,job_openings,kkni_level_mapped,kkni_label,skill_list,skill_count,edu_level
1,AI Engineer,Startup,Retail,Canada,Remote,Senior,2,Master,0,0,0,1,0,158322,Low,4,7,Ahli Pertama / Perdana,['deep learning'],1,S2
2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0,Bachelor,1,1,1,0,1,163666,High,9,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'cloud']",4,S1
3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14,Master,1,0,1,0,1,158556,High,9,6,Teknisi/Analis Madya,"['python', 'machine learning', 'cloud']",3,S2
4,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9,Master,0,1,0,1,1,95775,High,7,6,Teknisi/Analis Madya,"['sql', 'deep learning', 'cloud']",3,S2
5,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1,1,1,0,0,111873,Low,2,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning']",3,S2
6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6,Master,1,0,1,1,0,165878,High,2,7,Ahli Pertama / Perdana,"['python', 'machine learning', 'deep learning']",3,S2
7,Data Scientist,MNC,Technology,Germany,Remote,Entry,14,Bachelor,0,0,0,0,0,67027,High,8,5,Teknisi/Analis Muda,[],0,S1
8,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4,PhD,1,0,1,0,1,78392,High,7,5,Teknisi/Analis Muda,"['python', 'machine learning', 'cloud']",3,S3
9,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2,PhD,0,0,0,0,1,123840,Low,3,6,Teknisi/Analis Madya,['cloud'],1,S3
10,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9,Master,1,0,0,0,1,112408,High,7,7,Ahli Pertama / Perdana,"['python', 'cloud']",2,S2
11,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10,PhD,0,1,0,1,0,103157,Medium,3,5,Teknisi/Analis Muda,"['sql', 'deep learning']",2,S3
12,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13,Master,0,1,1,0,1,142392,High,9,6,Teknisi/Analis Madya,"['sql', 'machine learning', 'cloud']",3,S2
13,Data Analyst,Medium,Finance,Germany,Remote,Entry,6,PhD,1,1,0,0,1,55663,Low,5,5,Teknisi/Analis Muda,"['python', 'sql', 'cloud']",3,S3
14,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1,0,0,0,0,90698,High,8,6,Teknisi/Analis Madya,['python'],1,S2
15,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2,Bachelor,1,1,0,1,1,135535,Low,6,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning', 'cloud']",4,S1
16,Data Analyst,MNC,Retail,USA,Onsite,Mid,3,Bachelor,1,1,1,0,0,114339,Low,1,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning']",3,S1
17,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2,Master,0,0,1,1,0,133680,High,4,7,Ahli Pertama / Perdana,"['machine learning', 'deep learning']",2,S2
18,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6,Master,0,1,1,0,0,122049,High,9,5,Teknisi/Analis Muda,"['sql', 'machine learning']",2,S2
19,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2,Bachelor,0,1,1,0,1,116197,High,8,5,Teknisi/Analis Muda,"['sql', 'machine learning', 'cloud']",3,S1
