kode_okupasi,nama_okupasi,job_family,kkni_level,kkni_label,min_years_exp,edu_level_min,skill_tags,area_kode,domain
TIK.DSC0901,PEMIMPIN DATA (CHIEF DATA OFFICER),Leadership,9,Pemimpin / C-Level,12,S2,"['data strategy', 'data governance', 'leadership', 'business acumen']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),Data Operations,8,Ahli Utama / Lead,8,S2,"['data architecture', 'data modeling', 'ETL', 'cloud']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),Data Engineering,8,Ahli Utama / Lead,8,S2,"['data warehouse', 'ETL', 'SQL', 'data modeling', 'data governance']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0802,KEPALA ILMUWAN DATA (LEAD DATA SCIENTIST),Data Science,8,Ahli Utama / Lead,8,S2,"['machine learning', 'python', 'statistics', 'deep learning', 'leadership']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),Data Engineering,8,Ahli Utama / Lead,8,S2,"['data engineering', 'spark', 'python', 'cloud', 'pipeline', 'leadership']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0804,KEPALA INSINYUR PEMBELAJARAN MESIN (LEAD MACHINE LEARNING ENGINEER),Machine Learning Engineering,8,Ahli Utama / Lead,8,S2,"['machine learning', 'python', 'deep learning', 'mlops', 'cloud', 'leadership']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0805,KEPALA INSINYUR KECERDASAN ARTIFISIAL (LEAD AI ENGINEER),AI Engineering,8,Ahli Utama / Lead,8,S2,"['AI', 'deep learning', 'python', 'LLM', 'computer vision', 'NLP', 'leadership']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0806,SPESIALIS ARSITEKTUR SOLUSI KECERDASAN ARTIFISIAL (AI SOLUTION ARCHITECTURE SPECIALIST),AI Engineering,8,Ahli Utama / Lead,8,S2,"['AI architecture', 'solution design', 'cloud', 'system design']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0702,INSINYUR DATA (DATA ENGINEER),Data Engineering,7,Ahli Pertama / Perdana,5,S1,"['spark', 'python', 'SQL', 'ETL', 'cloud', 'kafka']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0701,ILMUWAN DATA (DATA SCIENTIST),Data Science,7,Ahli Pertama / Perdana,5,S1,"['machine learning', 'python', 'statistics', 'data analysis', 'SQL']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
