career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,skills_parsed,skills_count,related_skills_parsed,matched_score,job_target,min_years_exp_req,match_category,degree_first,major_first,position_last,overlap_with_job_skills,kkni_level_inferred
Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']","['The Amity School of Engineering & Technology (ASET), Noida']",['B.Tech'],['2019'],['N/A'],[None],['Electronics'],['Coca-COla'],[None],['Nov 2019'],['Till Date'],[['Big Data']],['Big Data Analyst'],['N/A'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




","['big data', 'hadoop', 'hive', 'python', 'mapreduce', 'spark', 'java', 'machine learning', 'cloud', 'hdfs', 'yarn', 'core java', 'data science', 'c++', 'data structures', 'dbms', 'rdbms', 'informatica', 'talend', 'amazon redshift', 'microsoft azure']",21,['big data'],0.85,Senior Software Engineer,1.0,High Match,B.Tech,Electronics,Big Data Analyst,3,5.0
Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,"['Data Analysis', 'Data Analytics', 'Business Analysis', 'R', 'SAS', 'PowerBi', 'Tableau', 'Data Visualization', 'Business Analytics', 'Machine Learning']","['Delhi University - Hansraj College', 'Delhi University - Hansraj College']","['B.Sc (Maths)', 'M.Sc (Science) (Statistics)']","['2015', '2018']","['N/A', 'N/A']","['N/A', 'N/A']","['Mathematics', 'Statistics']",['BIB Consultancy'],['N/A'],['Sep 2019'],['Till Date'],"[['Data Analysis', 'Business Analysis', 'Machine Learning']]",['Business Analyst'],['N/A'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['data analysis', 'data analytics', 'business analysis', 'r', 'sas', 'powerbi', 'tableau', 'data visualization', 'business analytics', 'machine learning']",10,"['machine learning', 'business analysis', 'data analysis']",0.75,Machine Learning (ML) Engineer,5.0,High Match,B.Sc (Maths),Mathematics,Business Analyst,1,7.0
,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']","['Birla Institute of Technology (BIT), Ranchi']",['B.Tech'],['2018'],['N/A'],['N/A'],['Electronics/Telecommunication'],['Axis Bank Limited'],['N/A'],['June 2018'],['Till Date'],"[['Unified Payment Interface', 'Risk Prediction', 'Big Data', 'Spark', 'PySpark']]",['Software Developer (Machine Learning Engineer)'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","['software development', 'machine learning', 'deep learning', 'risk assessment', 'requirement gathering', 'application support', 'javascript', 'python', 'docker', 'html', 'hive', 'css', 'c', 'c++']",14,"['spark', 'unified payment interface', 'pyspark', 'big data', 'risk prediction']",0.416666667,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3.0,Low Match,B.Tech,Electronics/Telecommunication,Software Developer (Machine Learning Engineer),3,6.0
"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","['accounts payables', 'accounts receivables', 'Accounts Payable', 'Accounts Receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'Computer Applications', 'Credit', 'clients', 'Customer Service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'mortgage loan', 'Enterprise', 'policies', 'QuickBooks', 'Sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']","['Martinez Adult Education, Business Training Center ï¼ City , State']",['Computer Applications Specialist Certificate Program'],['2008'],[None],[None],['Computer Applications'],"['Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'N/A']","[None, None, None, None, None, None]","['January 2011', 'January 2008', 'January 2006', 'January 2004', 'January 2001', 'N/A']","['November 2015', 'January 2010', 'January 2008', 'January 2006', 'January 2004', None]","[['accounts receivables', 'banking', 'G/L Accounts', 'accounts payables', 'credit cards', 'reconcile', 'commission reports', 'credit checks', 'customer service', 'international travel'], ['data entry', 'accounts receivable', 'cash handling', 'customer communication', 'inventory reports', 'problem-solving'], ['mortgage processing', 'analytical aptitude', 'credit reports', 'customer communication'], ['commercial auto underwriting', 'data entry', 'application review', 'customer communication'], ['personal auto underwriting', 'data entry', 'policy review', 'customer service'], ['training', 'medical record review', 'data entry', 'document design', 'customer service', 'team performance']]","['Accountant', 'Accounts Receivable Clerk', 'Mortgage Underwriter', 'Commercial Auto Underwriter', 'Personal Auto Underwriter', 'Claims Examiner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'N/A']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","['accounts payables', 'accounts receivables', 'accounts payable', 'accounts receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'computer applications', 'credit', 'clients', 'customer service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'access', 'excel', 'outlook', 'powerpoint', 'word', 'mortgage loan', 'enterprise', 'policies', 'quickbooks', 'sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']",36,"['personal auto underwriting', 'medical record review', 'reconcile', 'data entry', 'commission reports', 'customer service', 'policy review', 'training', 'customer communication', 'accounts receivable', 'team performance', 'commercial auto underwriting', 'accounts receivables', 'cash handling', 'inventory reports', 'international travel', 'mortgage processing', 'accounts payables', 'credit cards', 'document design', 'credit reports', 'banking', 'credit checks', 'problem-solving', 'g/l accounts', 'application review', 'analytical aptitude']",0.7600000000000001,Business Development Executive,1.0,High Match,Computer Applications Specialist Certificate Program,Computer Applications,Accountant,0,5.0
"Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills.","['Analytical reasoning', 'Compliance testing knowledge', 'Effective time management', 'Public and private accounting', 'accounting', 'accounting systems', 'accounts payable', 'accounts receivable', 'administrative', 'AR', 'billing', 'closing', 'client', 'clients', 'documentation', 'financial', 'financial reports', 'preparation of financial reports', 'Preparation of financial statements', 'fixed assets', 'managing', 'month-end closing', 'policies', 'maintain records', 'reporting', 'Research', 'sales', 'tax', 'taxes', 'tax returns', 'annual reports', 'year-end']",['Kent State University'],['Bachelor of Business Administration'],[None],['3.84'],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['January 2016', 'January 2016', 'January 2012', 'January 2009', 'January 2006']","['Current', 'January 2016', 'January 2015', 'January 2011', 'January 2009']","[['collections', 'accounts receivable', 'financial reports', 'AR aging', 'customer queries', 'sales and use tax audits'], ['financial statements', 'GAAP', 'asset', 'liability', 'capital account', 'accounting controls', 'audits'], ['sales tax', 'tax returns', 'business licenses', 'annual reports', 'tax audits'], ['financial reporting', 'fixed assets', 'sales tax', 'cash projections', 'general ledger accounting'], ['audit procedures', 'substantive tests', 'internal accounting', 'tests of compliance', 'audit programs']]","['Staff Accountant', 'Senior Accountant', 'Tax Analyst', 'Staff Accountant II', 'Staff Auditor II']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","['analytical reasoning', 'compliance testing knowledge', 'effective time management', 'public and private accounting', 'accounting', 'accounting systems', 'accounts payable', 'accounts receivable', 'administrative', 'ar', 'billing', 'closing', 'client', 'clients', 'documentation', 'financial', 'financial reports', 'preparation of financial reports', 'preparation of financial statements', 'fixed assets', 'managing', 'month-end closing', 'policies', 'maintain records', 'reporting', 'research', 'sales', 'tax', 'taxes', 'tax returns', 'annual reports', 'year-end']",32,"['liability', 'collections', 'sales and use tax audits', 'business licenses', 'customer queries', 'tests of compliance', 'audit programs', 'internal accounting', 'audits', 'asset', 'cash projections', 'ar aging', 'general ledger accounting', 'gaap', 'accounts receivable', 'tax audits', 'financial reports', 'substantive tests', 'financial reporting', 'annual reports', 'financial statements', 'accounting controls', 'capital account', 'sales tax', 'fixed assets', 'audit procedures', 'tax returns']",0.65,Senior iOS Engineer,4.0,Mid Match,Bachelor of Business Administration,Accounting,Staff Accountant,0,6.0
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.","['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation, configuration, and troubleshooting', 'Remote Desktop and Help Desk Management', 'Verbal Communication', 'Technical Support', 'Team Leadership', 'Programming Languages', 'On-call tech support', 'Windows & Mac OS', 'Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial', 'Management', 'VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture', 'Application Development', 'Voice Over IP Telephone', 'Inventory Management']","['Glen Oaks High School', 'Glen Oaks High School']","['Bachelor Degree', 'Associate Degree']","[None, None]","[None, None]","[None, None]","['Electronics and Communications Engineering Technology', 'Software Development']","['N/A', 'Company Name', 'Company Name']","[None, None, None]","['August 2006', 'August 2013', 'July 2014']","['January 2013', 'September 2014', 'Current']","[['Microsoft Applications', 'Windows Applications', 'Mac OS and IOS', 'Network routers', 'Cisco ASA firewall', 'Juniper Net-screen', 'LANs, WANs', 'Cloud Experience'], ['Microsoft applications', 'Windows and Mac OS', 'Linux', 'Web Development'], ['Customer Support', 'Technical Support', 'Network Administration', 'Inventory Management']]","['Engineering Systems Installer', 'IT Technician/QA Tester', 'Installation/Service Technician']","['City, State', 'City, State', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","['microsoft applications', 'network security', 'networking', 'pc hardware and software installation, configuration, and troubleshooting', 'remote desktop and help desk management', 'verbal communication', 'technical support', 'team leadership', 'programming languages', 'on-call tech support', 'windows & mac os', 'wiring/wire spicing: cat3, cat5, cat5e, coaxial', 'management', 'voip, tcp/ip, ipsec, atm, ss7, ipx, dns, bind, dhcp, hsrp and lan/wan architecture', 'application development', 'voice over ip telephone', 'inventory management']",17,"['cisco asa firewall', 'windows and mac os', 'windows applications', 'network administration', 'technical support', 'mac os and ios', 'linux', 'web development', 'inventory management', 'cloud experience', 'network routers', 'microsoft applications', 'lans, wans', 'juniper net-screen', 'customer support']",0.85,AI Engineer,,High Match,Bachelor Degree,Electronics and Communications Engineering Technology,Engineering Systems Installer,0,
,"['Machine Learning', 'Linear Regression', 'Ridge Regression', 'Lasso Regression', 'Tableau', 'Time Series Analysis']",['DJR College and University'],['B.Tech'],['2020'],['N/A'],['N/A'],['IT'],['Remiro Amio'],['N/A'],['Jan 2019'],['Sep 2019'],[None],['Intern'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","['machine learning', 'linear regression', 'ridge regression', 'lasso regression', 'tableau', 'time series analysis']",6,[],0.65,Senior iOS Engineer,4.0,Mid Match,B.Tech,IT,Intern,1,6.0
,"['Maintenance', 'Corrective Maintenance', 'Documentation', 'Industrial Machinery', 'Preventive Maintenance', 'Sensors', 'Biotechnology', 'Electrical Mechanical', 'Estimation', 'Hydraulics', 'Mechanical Technician', 'Pneumatics', 'Project Manager', 'Sop', 'Manufacturing Process', 'Apqp', 'Assembly', 'Circuit Boards', 'Dmm', 'Electrical Test', 'Esd', 'First Article Inspection', 'Inspection', 'Medical Devices', 'Oscilloscope', 'Production Process', 'Schematic', 'Soldering', 'Surface Mount', 'Test Engineer', 'Through-hole', 'Wiring', 'Calibration', 'Control Systems', 'Packaging', 'Process Control', 'Sensor', 'Temperature', 'And Humidity', 'Control System Design', 'Electrical Engineer', 'Engineer', 'Entry Level', 'Ieee', 'Mechanical/electrical Engineer', 'Proactive', 'Self Motivated', 'Testing', 'Training', 'Electrical Engineering', 'Pr', 'Public Relations']",['POLYTECHNIC UNIVERSITY OF PUERTO RICO'],['Bachelor of Science'],['2009'],['2.50'],['GPA'],['Electrical Engineering'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 2013', 'January 2011', 'January 2005']","['Current', 'January 2012', 'January 2011']","[['Electrical Test', 'Soldering', 'Wiring', 'Troubleshooting'], ['Calibration', 'Troubleshooting', 'Preventive Maintenance', 'Installation'], ['Project Estimation', 'Corrective Maintenance', 'Preventive Maintenance', 'Installation']]","['Engineering Technician', 'Instrument Technician', 'Project Manager Assistance']","['City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","['maintenance', 'corrective maintenance', 'documentation', 'industrial machinery', 'preventive maintenance', 'sensors', 'biotechnology', 'electrical mechanical', 'estimation', 'hydraulics', 'mechanical technician', 'pneumatics', 'project manager', 'sop', 'manufacturing process', 'apqp', 'assembly', 'circuit boards', 'dmm', 'electrical test', 'esd', 'first article inspection', 'inspection', 'medical devices', 'oscilloscope', 'production process', 'schematic', 'soldering', 'surface mount', 'test engineer', 'through-hole', 'wiring', 'calibration', 'control systems', 'packaging', 'process control', 'sensor', 'temperature', 'and humidity', 'control system design', 'electrical engineer', 'engineer', 'entry level', 'ieee', 'mechanical/electrical engineer', 'proactive', 'self motivated', 'testing', 'training', 'electrical engineering', 'pr', 'public relations']",52,"['soldering', 'preventive maintenance', 'project estimation', 'wiring', 'electrical test', 'corrective maintenance', 'calibration', 'troubleshooting', 'installation']",0.65,Senior iOS Engineer,4.0,Mid Match,Bachelor of Science,Electrical Engineering,Engineering Technician,0,6.0
"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.","['Python', 'Machine Learning', 'MySQL', 'Data Mining', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'Flask API', 'Predictive Modeling', 'AWS', 'Scikit-Learn', 'Numpy', 'Statistical Analysis', 'Multivariate Analysis', 'Decision Trees', 'Random Forest', 'Xgboost', 'NLP']",['Nagpur University'],['B.Tech/B.E.'],['2019'],['N/A'],['N/A'],['Electronics/Telecommunication'],['AMZ Loans and Mortgages ERC Analytics'],['N/A'],['Jun 2019'],['till date'],"[['Data Analysis', 'Employee Satisfaction', 'HR Collaboration']]",['Associate Analyst'],['N/A'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['python', 'machine learning', 'mysql', 'data mining', 'deep learning', 'data analysis', 'computer vision', 'flask api', 'predictive modeling', 'aws', 'scikit-learn', 'numpy', 'statistical analysis', 'multivariate analysis', 'decision trees', 'random forest', 'xgboost', 'nlp']",18,"['hr collaboration', 'data analysis', 'employee satisfaction']",0.55,Mechanical Engineer,2.0,Mid Match,B.Tech/B.E.,Electronics/Telecommunication,Associate Analyst,4,6.0
,"['Django', 'Python', 'Relational databases', 'RestAPI', 'Github', 'Jira', 'PostgreSQL', 'Software development', 'Debugging', 'Machine learning', 'Natural language Processing', 'Artificial Intelligence', 'Data Analysis', 'Docker', 'Tornado', 'Software Developer', 'Project Management']","['Dr. Virendra Swaroop Institute of Computer Studies, Kanpur', 'Pranveer Singh Institute of Technology, Kanpur']","['BCA', 'MCA']","['2016', '2019']","[None, None]","[None, None]","['Computers', 'Computers']",['Daffodil Software Pvt Ltd'],[None],['Jan 2019'],['Till Date'],"[['Developing', 'designing', 'optimizing automation script', 'crons', 'managing database conflicts', 'executing solution']]",['Software Developer'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","['django', 'python', 'relational databases', 'restapi', 'github', 'jira', 'postgresql', 'software development', 'debugging', 'machine learning', 'natural language processing', 'artificial intelligence', 'data analysis', 'docker', 'tornado', 'software developer', 'project management']",17,"['managing database conflicts', 'optimizing automation script', 'designing', 'crons', 'executing solution', 'developing']",0.383333333,Business Development Executive,1.0,Low Match,BCA,Computers,Software Developer,3,5.0
